Title,Domain,Datasets,GIT link
SSD: Single Shot MultiBox Detector Edit social previewSSD: Single Shot MultiBox Detector Edit social preview,['OBJECT DETECTION'],"['', ' PASCAL VOC ']","['https://github.com/NCNU-OpenSource/What-are-you-', 'https://github.com/millanp95/OFTracker', 'https://github.com/cfdoge/w9ai', 'https://github.com/Eljefemasao/MarkNet-ObjectDetector', 'https://github.com/airplane2230/keras_SSD_for_beginner', 'https://github.com/jack16888/caffessd', 'https://github.com/rahulguptagzb09/Video-Object-Detection-Using-SSD', 'https://github.com/aoru45/LFFD-Pytorch', 'https://github.com/gurkirt/AMTNet', 'https://github.com/pessimiss/ai100-w8-master', 'https://github.com/xzgz/caffe-ssd', 'https://github.com/tolotrasamuel/real-time-object-detection-retraining-ncs-raspberry-pi', 'https://github.com/jaykshirsagar05/CrowdCounting', 'https://github.com/wayne1204/NOAA-fish-finding', 'https://github.com/Andrew-Qibin/ssdlite-pytorch', 'https://github.com/gmt710/caffe-ssd', 'https://github.com/SummerLife/caffe_mobilessd', 'https://github.com/PettyDevil/caffe_ssd', 'https://github.com/ethanhou99/ml_learn', 'https://github.com/wangrui1996/caffe-ssd', 'https://github.com/AVAuco/ssd_people', 'https://github.com/nsom/ssd', 'https://github.com/pierluigiferrari/ssd_keras', 'https://github.com/xTRam1/Object-Detection-on-Custom-Dataset', 'https://github.com/alpemek/ais3d', 'https://github.com/Stick-To/SSD-tensorflow', 'https://github.com/nirajdpandey/Object-detection-and-localization-using-SSD', 'https://github.com/Ander02/FaceRecognition', 'https://github.com/rishabmallick/Sign-language-live-predictor', 'https://github.com/yczhang1017/SSD_resnet_pytorch', 'https://github.com/qfgaohao/pytorch-ssd', 'https://github.com/liqiang2018/Vehicle_delector', 'https://github.com/yuqj1990/deepano_face_train', 'https://github.com/xiaohaoChen/rrc_detection', 'https://github.com/wk738126046/deploy', 'https://github.com/TurtleGo/project-vehicle-detect', 'https://github.com/fanfancy/caffeSSD_compress', 'https://github.com/valentina-kustikova/dnn-object-detectors-comp', 'https://github.com/chenjian123456/caffe-ssd', 'https://github.com/Ohyeon5/MultiscaleSegmentation', 'https://github.com/ChujoHiroto/tensorflow-ssd', 'https://github.com/RentadroneCL/Photovoltaic_Fault_Detector', 'https://github.com/Ohyeon5/MismatchPenaltySegmentation', 'https://github.com/SkalskiP/make-sense', 'https://github.com/toseek01/eyebird', 'https://github.com/liuky74/caffe_liuky74', 'https://github.com/watarus0208/ssd_keras', 'https://github.com/jack16888/caffe-ssd', 'https://github.com/RentadroneCL/model-definition', 'https://github.com/imistyrain/ssd-windows', 'https://github.com/scrambleegg7/ssd_prescription', 'https://github.com/yeqiuyi/caffe-ssd', 'https://github.com/hyh21521038/ssd-plate_detection', 'https://github.com/dugusiqing/caffe', 'https://github.com/amemetov/ssd', 'https://github.com/rfribeiro/face_detection_landmarks', 'https://github.com/amirmohammadii/SSD-object-detection', 'https://github.com/macomino/TFM', 'https://github.com/PranavEranki/SSD-Algorithm', 'https://github.com/arpytanshu/ssd-object-detection', 'https://github.com/nirajdevpandey/Object-detection-and-localization-using-SSD-', 'https://github.com/raisinglc/object_detection_SSD', 'https://github.com/minhhuu291/Logo-Recognition', 'https://github.com/Coldmooon/SSD-on-Custom-Dataset', 'https://github.com/gmt710/caffe_gpu', 'https://github.com/Zoushuang86/quiz_w8', 'https://github.com/chihyanghsu0805/object_detection_yolo', 'https://github.com/zhuyi55/week9', 'https://github.com/HiKapok/SSD.TensorFlow', 'https://github.com/gurkirt/realtime-action-detection', 'https://github.com/MrRen-sdhm/Embedded_Multi_Object_Detection_CNN', 'https://github.com/nota-github/ssd_tf2', 'https://github.com/tair-ai/caffe', 'https://github.com/visiblesensors/caffe-ssd', 'https://github.com/pesong/ssd-caffe', 'https://github.com/weidi1024/caffe-ssd-correct', 'https://github.com/xyfer17/ssd-caffe', 'https://github.com/guptarohit994/ECE285_Graduate_Descent_SSD', 'https://github.com/AbhinavJhanwar/object-detection-classification', 'https://github.com/kfx7577/Caffe_VehicleCounter', 'https://github.com/tchernitski/caffe.deploy', 'https://github.com/MTCloudVision/mxnet-dssd', 'https://github.com/YuxuanXie/caffe_mobilessd', 'https://github.com/Hirotane/SSD_keras2', 'https://github.com/konny0311/ssd_trial', 'https://github.com/miteshksingh/SimplifiedYOLO', 'https://github.com/111qqz/caffe-ssd', 'https://github.com/SSN15/Behavioral-Cloning--Implementaion-of-Autonomous-car-using-deep-learning', 'https://github.com/Tota-Nakatani/SSD_keras', 'https://github.com/rfribeiro/face_detection', 'https://github.com/kazu0914/ssd_keras_anotation', 'https://github.com/jimheaton/Ultra96_ML_Embedded_Workshop', 'https://github.com/Sobeit-Tim/NuguEyeTest', 'https://github.com/JaryHuang/awesome_SSD_FPN_GIoU', 'https://github.com/leejang/two_stream_ssd_caffe', 'https://github.com/yuqj1990/face_train', 'https://github.com/nasirtrekker/personcounter', 'https://github.com/vivek20dadhich/deep-learning-object-detection', 'https://github.com/paulwarkentin/tf-ssd-vgg', 'https://github.com/nikhilsid/CV_HW5', 'https://github.com/liuliu408/caffe-ssd', 'https://github.com/Tsejing/object_detection', 'https://github.com/vita-epfl/rock-pytorch', 'https://github.com/taokong/RON', 'https://github.com/arvind1998/SSD-Object-Detection', 'https://github.com/amdegroot/ssd.pytorch', 'https://github.com/aniketmaurya/ssd-tf2-tfds', 'https://github.com/freeniliang/caffe-ssd', 'https://github.com/KitaYoshihiro/sk', 'https://github.com/weiliu89/caffe', 'https://github.com/zhreshold/mxnet-ssd', 'https://github.com/chaowang1994/caffe-ssd', 'https://github.com/MenGuangwen-CN-0411/Simple-Use-of-SSD', 'https://github.com/samo1petar/SSD', 'https://github.com/susanbasket0410/my_ssd_keras', 'https://github.com/TanyaChutani/SSD-Tensorflow', 'https://github.com/fanneng/caffe', 'https://github.com/tsunekoromochi/ssd', 'https://github.com/liqiang2018/ssd_mobilenet1.5', 'https://github.com/GitHberChen/FCN-Pytorch', 'https://github.com/PiseyYou/MobileNet_Caffe_Configuration', 'https://github.com/rykov8/ssd_keras', 'https://github.com/RashadGarayev/OpencvDnnmodule', 'https://github.com/jiportilla/edge-max-object-detector', 'https://github.com/kangyiS/caffe_ky', 'https://github.com/inisis/caffe', 'https://github.com/balancap/SSD-Tensorflow', 'https://github.com/yuqj1990/caffe_deeplearning_train', 'https://github.com/ashwath007/aminity-detection', 'https://github.com/MonsterPeng/caffe_ssd', 'https://github.com/tatsuyaokunaga/Simpsons_Detection', 'https://github.com/lswzjuer/caffe-adas', 'https://github.com/Guillem96/ssd-pytorch', 'https://github.com/hieubkset/ssd_ship_detection', 'https://github.com/ZhouKai90/face-detection-ssd-mxnet', 'https://github.com/yuqj1990/caffe_train', 'https://github.com/iolkhovsky/SSD_detector', 'https://github.com/object-detection-algorithm/SSD', 'https://github.com/lzx1413/CAFFE_SSD', 'https://github.com/eddiebarry/SingleShotDetector', 'https://github.com/LanqingLi/Chromosome', 'https://github.com/aubricot/object_detection_for_image_cropping', 'https://github.com/Wunaiq/ssd_flask_docker', 'https://github.com/ashwath007/amenity-detection', 'https://github.com/open-mmlab/mmdetection', 'https://github.com/Chubbyman2/SSD_MobileNet_Hand_Tracker', 'https://github.com/YELKHATTABI/MAS_Clean', 'https://github.com/airplane2230/keras_Model_for_Beginner', 'https://github.com/naoya0731/deepmosaic', 'https://github.com/zjZSTU/SSD', 'https://github.com/bailvwangzi/repulsion_loss_ssd', 'https://github.com/zoeyuchao/caffe-ssd', 'https://github.com/lws803/label_create_tfrecords', 'https://github.com/imistyrain/ssd', 'https://github.com/PuchatekwSzortach/voc_ssd', 'https://github.com/ravi0531rp/DeepDrive', 'https://github.com/yuqj1990/deepano_train', 'https://github.com/ml-inory/Caffe', 'https://github.com/vandangorade/BrandLOGO_detection', 'https://github.com/spencerkraisler/Finger-Counter', 'https://github.com/saunack/MobileNetv2-SSD', 'https://github.com/birosjh/simple_ssd', 'https://github.com/sunqiangxtcsun/SSD', 'https://github.com/Eljefemasao/Customed-Object-Detector', 'https://github.com/lufficc/SSD', 'https://github.com/tryolabs/luminoth', 'https://github.com/kanesoban/ssd', 'https://github.com/chandra411/Product-Detection', 'https://github.com/PhanTom2003/SSD', 'https://github.com/hidekazu300/test', 'https://github.com/yuhsuanlin23130/Vehicle-Detection-2019', 'https://github.com/CV-deeplearning/caffe', 'https://github.com/nutintin/Robotic_SP2019', 'https://github.com/aoru45/BasketNet', 'https://github.com/PaulZhangIsing/CaffeSSD-opencv4', 'https://github.com/wangkingkingking/ssd_mathocr', 'https://github.com/SSN15/Traffic-sign-recognition-using-deep-learning-and-computer-vision', 'https://github.com/shunk031/chainer-skin-lesion-detector', 'https://github.com/Cosmos218/ssd-caffe', 'https://github.com/ajinkyakhoche/Object-Detection-Project', 'https://github.com/zqplgl/caffe', 'https://github.com/JoyHsiao/Haitec', 'https://github.com/feizc/Object-Detection-Pytorch', 'https://github.com/chenjunweii/mxnet-ssd', 'https://github.com/Viveksbawa/SARAS-ESAD-Baseline', 'https://github.com/saimj7/People-Counting-in-Real-Time', 'https://github.com/InquisitiveOjas/Object-Detection_SSD', 'https://github.com/rajs25/Object-Detection', 'https://github.com/ChunML/ssd-tf2', 'https://github.com/victordibia/handtracking', 'https://github.com/JimmyLauren/caffe_ssd_mofified', 'https://github.com/shenyunhang/caffe-fwsl', 'https://github.com/naoya0731/deepmozaik_sample', 'https://github.com/wj1tr0y/SSD', 'https://github.com/EricYang3721/faces']"
"Scene Graph Generation from Objects, Phrases and Region Captions Edit social previewScene Graph Generation from Objects, Phrases and Region Captions Edit social preview","['SCENE GRAPH GENERATION', 'OBJECT DETECTION', 'GRAPH GENERATION', 'SCENE UNDERSTANDING']","['', ' Visual Genome ']",['https://github.com/yikang-li/MSDN']
Radar+RGB Attentive Fusion for Robust Object Detection in Autonomous Vehicles Edit social previewRadar+RGB Attentive Fusion for Robust Object Detection in Autonomous Vehicles Edit social preview,"['ROBUST OBJECT DETECTION', 'AUTONOMOUS VEHICLES', '2D OBJECT DETECTION', 'OBJECT DETECTION', 'SENSOR FUSION', 'REGION PROPOSAL']","['', ' COCO ', ' nuScenes ']",['https://github.com/RituYadav92/Radar-RGB-Attentive-Multimodal-Object-Detection']
SpotNet: Self-Attention Multi-Task Network for Object Detection Edit social previewSpotNet: Self-Attention Multi-Task Network for Object Detection Edit social preview,"['MULTI-TASK LEARNING', 'INSTANCE SEGMENTATION', 'OBJECT DETECTION']","['', ' UA-DETRAC ', ' UAVDT ']",['https://github.com/hu64/SpotNet']
Detecting People in Artwork with CNNs Edit social previewDetecting People in Artwork with CNNs Edit social preview,['OBJECT DETECTION'],"['', ' PeopleArt ', ' ImageNet ']",['https://github.com/BathVisArtData/PeopleArt']
On Generalizing Detection Models for Unconstrained Environments Edit social previewOn Generalizing Detection Models for Unconstrained Environments Edit social preview,"['OBJECT DETECTION', 'TRANSFER LEARNING', 'INCREMENTAL LEARNING']","['', ' KITTI ', ' COCO ', ' BDD100K ', ' IDD ']",['https://github.com/prajjwal1/autonomous-object-detection']
Attention-based Joint Detection of Object and Semantic Part Edit social previewAttention-based Joint Detection of Object and Semantic Part Edit social preview,"['OBJECT DETECTION', 'SEMANTIC PART DETECTION', 'REGRESSION']",[''],['https://github.com/kevalmorabia97/Object-and-Semantic-Part-Detection-pyTorch']
How To Extract Fashion Trends From Social Media? A Robust Object Detector With Support For Unsupervised Learning Edit social previewHow To Extract Fashion Trends From Social Media? A Robust Object Detector With Support For Unsupervised Learning Edit social preview,['OBJECT DETECTION'],"['', ' SUN RGB-D ']",['https://github.com/trhgu/awesome-fashion-contents']
Oriented Object Detection in Aerial Images with Box Boundary-Aware Vectors Edit social previewOriented Object Detection in Aerial Images with Box Boundary-Aware Vectors Edit social preview,"['OBJECT DETECTION IN AERIAL IMAGES', 'OBJECT DETECTION']","['', ' DOTA ']",['https://github.com/yijingru/BBAVectors-Oriented-Object-Detection']
Vote3Deep: Fast Object Detection in 3D Point Clouds Using Efficient Convolutional Neural Networks Edit social previewVote3Deep: Fast Object Detection in 3D Point Clouds Using Efficient Convolutional Neural Networks Edit social preview,"['OBJECT DETECTION', '3D OBJECT DETECTION', 'REAL-TIME OBJECT DETECTION']","['', ' KITTI ']",[]
Fornax 3D project: automated detection of planetary nebulae in the centres of early-type galaxies and first results Edit social previewFornax 3D project: automated detection of planetary nebulae in the centres of early-type galaxies and first results Edit social preview,['OBJECT DETECTION'],[],['https://github.com/tspriggs/MUSE_PNe_fitting']
Slender Object Detection: Diagnoses and Improvements Edit social previewSlender Object Detection: Diagnoses and Improvements Edit social preview,['OBJECT DETECTION'],"['', ' COCO ', ' Objects365 ', ' WIDER FACE ']",['https://github.com/wanzysky/SlenderObjDet']
Simple Copy-Paste is a Strong Data Augmentation Method for Instance Segmentation Edit social previewSimple Copy-Paste is a Strong Data Augmentation Method for Instance Segmentation Edit social preview,"['OBJECT DETECTION', 'INSTANCE SEGMENTATION', 'IMAGE AUGMENTATION', 'DATA AUGMENTATION', 'SEMANTIC SEGMENTATION']","['', ' COCO ', ' iNaturalist ', ' PASCAL VOC ', ' LVIS ', ' Objects365 ', ' PASCAL VOC 2007 ']","['https://github.com/RocketFlash/CAP_augmentation', 'https://github.com/conradry/copy-paste-aug']"
Score-Based Generative Modeling through Stochastic Differential Equations Edit social previewScore-Based Generative Modeling through Stochastic Differential Equations Edit social preview,"['IMAGE INPAINTING', 'IMAGE GENERATION', 'COLORIZATION']","['', ' CelebA ', ' LSUN ', ' CIFAR-10 ', ' CelebA-HQ ']","['https://github.com/yang-song/score_sde_pytorch', 'https://github.com/yang-song/score_sde', 'https://github.com/ermongroup/ncsnv2', 'https://github.com/ermongroup/ncsn']"
Image Transformer Edit social previewImage Transformer Edit social preview,"['IMAGE GENERATION', 'SUPER-RESOLUTION', 'IMAGE SUPER-RESOLUTION']","['', ' ImageNet ']",[]
Efficient Content-Based Sparse Attention with Routing Transformers Edit social previewEfficient Content-Based Sparse Attention with Routing Transformers Edit social preview,"['LANGUAGE MODELLING', 'IMAGE GENERATION']","['', ' ImageNet ', ' WikiText-103 ']","['https://github.com/lucidrains/local-attention', 'https://github.com/lucidrains/routing-transformer']"
Generating High Fidelity Images with Subscale Pixel Networks and Multidimensional Upscaling Edit social previewGenerating High Fidelity Images with Subscale Pixel Networks and Multidimensional Upscaling Edit social preview,['IMAGE GENERATION'],"['', ' CelebA-HQ ', ' CelebA ']",[]
TransGAN: Two Transformers Can Make One Strong GAN Edit social previewTransGAN: Two Transformers Can Make One Strong GAN Edit social preview,['IMAGE GENERATION'],"['', ' STL-10 ', ' CIFAR-10 ', ' CelebA ']",['https://github.com/VITA-Group/TransGAN']
Locally Masked Convolution for Autoregressive Models Edit social previewLocally Masked Convolution for Autoregressive Models Edit social preview,"['ANOMALY DETECTION', 'IMAGE GENERATION', 'DENSITY ESTIMATION', 'IMAGE COMPRESSION']","['', ' CelebA-HQ ', ' MNIST ']",['https://github.com/ajayjain/lmconv']
Large Scale GAN Training for High Fidelity Natural Image Synthesis Edit social previewLarge Scale GAN Training for High Fidelity Natural Image Synthesis Edit social preview,"['IMAGE GENERATION', 'CONDITIONAL IMAGE GENERATION']","['', ' ImageNet ', ' CIFAR-10 ', ' JFT-300M ']","['https://github.com/krisrjohnson/Realistic-Neural-Talking-Head-Models', 'https://github.com/vincent-thevenin/Realistic-Neural-Talking-Head-Models', 'https://github.com/ajbrock/BigGAN-PyTorch', 'https://github.com/PacktPublishing/Hands-On-Image-Generation-with-TensorFlow-2.0/tree/master/Chapter08', 'https://github.com/minyoungg/GAN-Transform-and-Project', 'https://github.com/harpreetsodhi/ChangeMyPet-Deep-Learning-Model', 'https://github.com/ZVK/talking_heads', 'https://github.com/times2049/talkinghead', 'https://github.com/ANIME305/Anime-GAN-tensorflow', 'https://github.com/amanjaiswal73892/changemypet', 'https://github.com/ANIME305/Anime-GAN', 'https://github.com/yaxingwang/DeepI2I', 'https://github.com/yaxingwang/MineGAN', 'https://github.com/lucidrains/big-sleep', 'https://github.com/rajveen/ChangeMyPet', 'https://github.com/taki0112/BigGAN-Tensorflow', 'https://github.com/ivclab/BigGAN-Generator-Pretrained-Pytorch', 'https://github.com/harpreetsodhi/ChangeMyPet_Deep_Learning_Model', 'https://github.com/ZVK/Talking-Heads', 'https://github.com/minyoungg/pix2latent', 'https://github.com/uoguelph-mlrg/instance_selection_for_gans']"
NCP-VAE: Variational Autoencoders with Noise Contrastive Priors Edit social previewNCP-VAE: Variational Autoencoders with Noise Contrastive Priors Edit social preview,['IMAGE GENERATION'],"['', ' CIFAR-10 ', ' CelebA-HQ ', ' CelebA ']",[]
Generative Adversarial Transformers Edit social previewGenerative Adversarial Transformers Edit social preview,"['SCENE GENERATION', 'IMAGE GENERATION']","['', ' CLEVR ', ' Cityscapes ']",['https://github.com/dorarad/gansformer']
"Progressive Growing of GANs for Improved Quality, Stability, and Variation Edit social previewProgressive Growing of GANs for Improved Quality, Stability, and Variation Edit social preview","['IMAGE GENERATION', 'FACE GENERATION']","['', ' LSUN ', ' CelebA-HQ ', ' CelebA ']","['https://github.com/axium/Blind-Image-Deconvolution-using-Deep-Generative-Priors', 'https://github.com/KaitavMehta95/Insight-Ganscape-Studio', 'https://github.com/LeChangAlex/GAN-Metric', 'https://github.com/podgorskiy/StyleGan', 'https://github.com/uladzislau-varabei/progressively_growing_gan', 'https://github.com/Windrill/small-scene-video-GAN', 'https://github.com/sergkuzn148/lol3', 'https://github.com/jeromerony/Progressive_Growing_of_GANs-PyTorch', 'https://github.com/wanderine/ProgressiveGAN3D', 'https://github.com/yoboget/CProGAN-ME', 'https://github.com/stevehansen43/progressive_GAN', 'https://github.com/t-ae/progan-s4tf', 'https://github.com/timsainb/GAIA', 'https://github.com/MNaplesDevelopment/DCGAN-PyTorch', 'https://github.com/hukkelas/progan-pytorch', 'https://github.com/AndreasWieg/PC-PGGAN', 'https://github.com/shahbuland/basic-gans', 'https://github.com/FloList/21cmGAN', 'https://github.com/PacktPublishing/Hands-On-Image-Generation-with-TensorFlow-2.0/tree/master/Chapter07', 'https://github.com/Sangohe/pgan_thesis', 'https://github.com/djcustard/GestureGAN', 'https://github.com/jiajunhua/tkarras-progressive_growing_of_gans', 'https://github.com/jaredaevans/FishGAN', 'https://github.com/SonyCSLParis/DrumGAN', 'https://github.com/sidward14/gan-lab', 'https://github.com/yaxingwang/MineGAN', 'https://github.com/MNaplesDevelopment/Deep-Convolutional-Generative-Adversarial-Networks', 'https://github.com/ariel415el/ALAE', 'https://github.com/civilman628/pgan', 'https://github.com/facebookresearch/pytorch_GAN_zoo', 'https://github.com/jonasz/progressive_infogan', 'https://github.com/lonlyness/variational_temporal_abstraction', 'https://github.com/zsef123/PGGAN-Pytorch', 'https://github.com/Panagiotou/Random3DTerrain', 'https://github.com/NoahBarrett98/ProgressiveGAN', 'https://github.com/AbhinavJhanwar/GAN', 'https://github.com/cc-hpc-itwm/DeepFakeDetection', 'https://github.com/akanimax/T2F', 'https://github.com/matt-roz/progressive_growing_of_gans_tensorflow_2', 'https://github.com/NikhitaMethwani/Deep-Fakes-Cars-Generation', 'https://github.com/DivJAth/DeepLearning5922', 'https://github.com/Aruie/Aru_StyleGAN', 'https://github.com/RyanWu2233/Style_GAN2_FFHQ', 'https://github.com/sergkuzn148/stg', 'https://github.com/Panagiotou/Procedural3DTerrain', 'https://github.com/cedricoeldorf/ConditionalStyleGAN', 'https://github.com/alexeyhorkin/ProGAN-PyTorch', 'https://github.com/apisarek/gan_advances', 'https://github.com/lonlyness/pggan-structure', 'https://github.com/musikisomorphie/swd', 'https://github.com/kyranstar/Narcissus', 'https://github.com/J-woooo/Mask_Remover', 'https://github.com/convergencelab/ProgressiveGAN-SR', 'https://github.com/MNaplesDevelopment/MNIST-DCGAN-PyTorch', 'https://github.com/maxmax1992/WGAN_WGAN-GP', 'https://github.com/ShenYujun/InterFaceGAN', 'https://github.com/akanimax/pro_gan_pytorch', 'https://github.com/Latope2-150/Progressive_Growing_of_GANs-PyTorch', 'https://github.com/alfagao/DeOldify', 'https://github.com/Windrill/Scenery-Video-GANs', 'https://github.com/tnishida13/DeOldify24', 'https://github.com/Soldie/DeOldify-colorir-imagens-antigas', 'https://github.com/tkarras/progressive_growing_of_gans', 'https://github.com/random-quark/progressive-gan-completion', 'https://github.com/irynakostyshyn/A-Style-Based-Generator-Architecture-for-GAN', 'https://github.com/thenhz/progressive_growing_of_gan', 'https://github.com/TUM-ML-Lab18/FaceSwap', 'https://github.com/suhuijia/pggan', 'https://github.com/SiskonEmilia/StyleGAN-PyTorch']"
Twin Auxilary Classifiers GAN Edit social previewTwin Auxilary Classifiers GAN Edit social preview,"['IMAGE GENERATION', 'CONDITIONAL IMAGE GENERATION']","['', ' VGGFace2 ', ' CIFAR-100 ']",['https://github.com/batmanlab/twin_ac']
Generative Latent Flow Edit social previewGenerative Latent Flow Edit social preview,['IMAGE GENERATION'],"['', ' CelebA ', ' Fashion-MNIST ', ' CIFAR-10 ', ' CelebA-HQ ']",['https://github.com/rakhimovv/GenerativeLatentFlow']
VAEBM: A Symbiosis between Variational Autoencoders and Energy-based Models Edit social previewVAEBM: A Symbiosis between Variational Autoencoders and Energy-based Models Edit social preview,"['OUT-OF-DISTRIBUTION DETECTION', 'IMAGE GENERATION']","['', ' CelebA ', ' Stacked MNIST ', ' LSUN ', ' CelebA-HQ ']",[]
FineGAN: Unsupervised Hierarchical Disentanglement for Fine-Grained Object Generation and Discovery Edit social previewFineGAN: Unsupervised Hierarchical Disentanglement for Fine-Grained Object Generation and Discovery Edit social preview,"['FINE-GRAINED VISUAL CATEGORIZATION', 'CONDITIONAL IMAGE GENERATION', 'IMAGE CLUSTERING']","['', ' CUB-200-2011 ', ' Stanford Cars ', ' GuessWhat?! ', ' Object Discovery ']",['https://github.com/kkanshul/finegan']
A U-Net Based Discriminator for Generative Adversarial Networks Edit social previewA U-Net Based Discriminator for Generative Adversarial Networks Edit social preview,"['IMAGE GENERATION', 'CONDITIONAL IMAGE GENERATION', 'DATA AUGMENTATION']","['', ' CelebA ', ' COCO ', ' FFHQ ', ' CelebA-HQ ']","['https://github.com/xingchenzhao/deep-learning-team-project', 'https://github.com/boschresearch/unetgan']"
Differentiable Augmentation for Data-Efficient GAN Training Edit social previewDifferentiable Augmentation for Data-Efficient GAN Training Edit social preview,['IMAGE GENERATION'],"['', ' ImageNet ', ' FFHQ ', ' CIFAR-100 ', ' CIFAR-10 ']","['https://github.com/gaborvecsei/SLE-GAN', 'https://github.com/mit-han-lab/data-efficient-gans', 'https://github.com/POSTECH-CVLab/PyTorch-StudioGAN', 'https://github.com/eps696/stylegan2', 'https://github.com/VITA-Group/Ultra-Data-Efficient-GAN-Training', 'https://github.com/cryu854/StyleGAN2']"
The relativistic discriminator: a key element missing from standard GAN Edit social previewThe relativistic discriminator: a key element missing from standard GAN Edit social preview,['IMAGE GENERATION'],"['', ' CIFAR-10 ']","['https://github.com/weishenho/SAGAN-with-relativistic', 'https://github.com/taki0112/RelativisticGAN-Tensorflow', 'https://github.com/jpjuvo/64-3D-RaSGAN', 'https://github.com/AlexiaJM/GANsBeyondDivergenceMin', 'https://github.com/eriklindernoren/PyTorch-GAN', 'https://github.com/trevor-vincent/DeepChessComposer', 'https://github.com/AlexiaJM/RelativisticGAN', 'https://github.com/zxr931120/-', 'https://github.com/soumik12345/Adventures-with-GANS']"
COCO-GAN: Generation by Parts via Conditional Coordinating Edit social previewCOCO-GAN: Generation by Parts via Conditional Coordinating Edit social preview,"['IMAGE GENERATION', 'FACE GENERATION']","['', ' CelebA ', ' LSUN ', ' Matterport3D ', ' CelebA-HQ ']",['https://github.com/hubert0527/COCO-GAN']
GANs Trained by a Two Time-Scale Update Rule Converge to a Local Nash Equilibrium Edit social previewGANs Trained by a Two Time-Scale Update Rule Converge to a Local Nash Equilibrium Edit social preview,['IMAGE GENERATION'],"['', ' CelebA ', ' LSUN ', ' SVHN ', ' Billion Word Benchmark ']","['https://github.com/minhnhat93/tf-SNDCGAN', 'https://github.com/sergkuzn148/lol3', 'https://github.com/kenanidris/deoldify', 'https://github.com/yenchenlin/fid', 'https://github.com/djl11/mxnet-fid', 'https://github.com/recluse27/Colorizator', 'https://github.com/bioinf-jku/TTUR', 'https://github.com/raahii/video-gans-evaluation', 'https://github.com/VincieD/TrafficSign_GAN_Benchmark', 'https://github.com/agupta231/CARROL', 'https://github.com/fikratgasimov/Generative_Adversial', 'https://github.com/jantic/DeOldify', 'https://github.com/xiongjiechen/ASWD', 'https://github.com/KbeautyHair/BaselineModel', 'https://github.com/cryu854/StyleGAN2', 'https://github.com/IEWbgfnYDwHRoRRSKtkdyMDUzgdwuBYgDKtDJWd/doldy', 'https://github.com/raahii/evan', 'https://github.com/yashwanyne/Robust-Video-Colorization-with-Self-Attention-based-Progressive-Generative-Adversarial-Networks', 'https://github.com/leognha/PyTorch-FID-score', 'https://github.com/zzz2010/starganv2_paddle', 'https://github.com/charlescheng0117/pytorch-WGAN-GP-TTUR-CelebA', 'https://github.com/sergkuzn148/stg', 'https://github.com/toshas/torch-fidelity', 'https://github.com/hidekifujinami6/gan_evaluation', 'https://github.com/warintornp/paper2', 'https://github.com/vict0rsch/pytorch-fid-wrapper', 'https://github.com/ShwanMario/ASWD', 'https://github.com/watsonyanghx/GAN_Lib_Tensorflow', 'https://github.com/mbinkowski/DeepSpeechDistances', 'https://github.com/chameleonTK/continual-learning-for-HAR', 'https://github.com/hukkelas/pytorch-frechet-inception-distance', 'https://github.com/alfagao/DeOldify', 'https://github.com/tnishida13/DeOldify24', 'https://github.com/Soldie/DeOldify-colorir-imagens-antigas', 'https://github.com/AlexiaJM/Deep-learning-with-cats', 'https://github.com/MicroprocessorX069/Comparison-of-DC-GANS-and-SA-GANS', 'https://github.com/DevashishJoshi/Transferring-GANs-FYP', 'https://github.com/jleinonen/keras-fid', 'https://github.com/mseitzer/pytorch-fid', 'https://github.com/SiskonEmilia/StyleGAN-PyTorch']"
Training Generative Adversarial Networks with Limited Data Edit social previewTraining Generative Adversarial Networks with Limited Data Edit social preview,"['IMAGE GENERATION', 'CONDITIONAL IMAGE GENERATION']","['', ' FFHQ ', ' AFHQ ', ' CIFAR-10 ']","['https://github.com/Shruthi3192/GAN-with-limited-data', 'https://github.com/pbaylies/stylegan2', 'https://github.com/aiksir/stylegan2-ada-blending', 'https://github.com/vsemecky/stylegan2-ada', 'https://github.com/denemmy/stylegan2-ada', 'https://github.com/sangyun884/Face2Webtoon', 'https://github.com/woctezuma/steam-stylegan2-ada', 'https://github.com/NVlabs/stylegan2-ada', 'https://github.com/sangyun884/WebtoonFaces', 'https://github.com/eps696/stylegan2ada', 'https://github.com/NVlabs/stylegan2-ada-pytorch']"
